Symbol,Trading_Fitness,Primary_Tag,All_Tags,Turnover_Cr_20d,ATR_Pct,Stage2,FnO
AUROPHARMA,78.8,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,157.8,2.13,True,True
CYIENTDLM,78.5,SWING_ELIGIBLE,SWING_ELIGIBLE,54.2,4.25,True,False
TORNTPHARM,76.9,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,173.1,2.1,True,True
VOLTAMP,75.7,SWING_ELIGIBLE,SWING_ELIGIBLE,42.7,3.66,True,False
KPIL,75.5,SWING_ELIGIBLE,SWING_ELIGIBLE,49.7,2.47,True,False
ACE,75.5,SWING_ELIGIBLE,SWING_ELIGIBLE,41.8,3.39,True,False
PREMIERENE,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,110.2,3.03,False,True
KAYNES,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,512.9,3.89,False,True
JUBLFOOD,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,170.7,3.36,False,True
BSE,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,1609.1,3.02,False,True
EXIDEIND,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,151.7,2.64,False,True
VEDL,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,389.5,3.0,False,True
MAXHEALTH,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,207.2,2.81,False,True
VBL,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,241.6,2.68,False,True
COCHINSHIP,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,161.0,2.51,False,True
BDL,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,273.6,3.69,False,True
POWERINDIA,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,422.7,3.0,False,True
ADANIPOWER,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,422.4,2.82,False,True
PGEL,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,119.8,2.57,False,True
ANGELONE,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,149.3,3.19,False,True
ASHOKLEY,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,290.4,2.66,False,True
POLICYBZR,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,242.9,2.54,False,True
OIL,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,142.6,2.5,False,True
NATIONALUM,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,310.9,3.49,False,True
ADANIGREEN,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,205.7,2.84,False,True
KEI,75.0,BTST_ELIGIBLE,BTST_ELIGIBLE,210.6,3.32,False,True
KPITTECH,74.9,BTST_ELIGIBLE,BTST_ELIGIBLE,99.5,2.6,False,True
NAVINFLUOR,74.2,SWING_ELIGIBLE,SWING_ELIGIBLE,294.7,2.22,True,False
360ONE,74.2,BTST_ELIGIBLE,BTST_ELIGIBLE,106.6,2.49,False,True
VIJAYA,73.8,SWING_ELIGIBLE,SWING_ELIGIBLE,35.1,2.85,True,False
UNIMECH,73.6,SWING_ELIGIBLE,SWING_ELIGIBLE,34.5,3.93,True,False
INOXWIND,73.4,BTST_ELIGIBLE,BTST_ELIGIBLE,93.5,2.82,False,True
HINDALCO,71.9,BTST_ELIGIBLE,BTST_ELIGIBLE,460.3,2.45,False,True
HAL,71.6,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,553.0,2.0,True,True
TMPV,71.4,BTST_ELIGIBLE,BTST_ELIGIBLE,317.0,2.44,False,True
FINEORG,71.4,SWING_ELIGIBLE,SWING_ELIGIBLE,25.6,3.25,True,False
DIVISLAB,71.3,BTST_ELIGIBLE,BTST_ELIGIBLE|SWING_ELIGIBLE,365.7,2.0,True,True
CONCOR,70.4,BTST_ELIGIBLE,BTST_ELIGIBLE,81.5,2.6,False,True
POLYCAB,70.3,BTST_ELIGIBLE,BTST_ELIGIBLE,259.9,2.42,False,True
MAZDOCK,68.4,BTST_ELIGIBLE,BTST_ELIGIBLE,249.7,2.38,False,True
RVNL,68.4,BTST_ELIGIBLE,BTST_ELIGIBLE,90.0,2.43,False,True
TVSMOTOR,66.8,BTST_ELIGIBLE,BTST_ELIGIBLE,404.7,2.36,False,True
AMBER,66.3,BTST_ELIGIBLE,BTST_ELIGIBLE,255.8,2.35,False,True
DMART,65.9,BTST_ELIGIBLE,BTST_ELIGIBLE,178.3,2.34,False,True
CAMS,65.3,BTST_ELIGIBLE,BTST_ELIGIBLE,101.2,2.33,False,True
GRSE,65.0,MARGINAL,,132.2,2.53,False,False
APOLLO,65.0,MARGINAL,,172.4,2.56,False,False
ZENTEC,65.0,MARGINAL,,100.3,3.55,False,False
HINDCOPPER,65.0,MARGINAL,,1021.9,4.83,False,False
CYIENT,65.0,MARGINAL,,174.3,4.32,False,False
RECLTD,64.7,BTST_ELIGIBLE,BTST_ELIGIBLE,213.5,2.32,False,True
JINDALSTEL,64.6,BTST_ELIGIBLE,BTST_ELIGIBLE,90.1,2.36,False,True
ANANTRAJ,64.4,MARGINAL,,97.6,2.63,False,False
DALBHARAT,64.2,BTST_ELIGIBLE,BTST_ELIGIBLE,56.9,3.11,False,True
ICICIPRULI,64.1,BTST_ELIGIBLE,BTST_ELIGIBLE,69.9,2.44,False,True
BLS,63.9,MARGINAL,,95.8,4.59,False,False
NESTLEIND,63.1,BTST_ELIGIBLE,BTST_ELIGIBLE,255.7,2.29,False,True
BPCL,62.8,BTST_ELIGIBLE,BTST_ELIGIBLE,158.4,2.29,False,True
TCS,62.8,BTST_ELIGIBLE,BTST_ELIGIBLE,642.2,2.29,False,True
HCLTECH,61.4,BTST_ELIGIBLE,BTST_ELIGIBLE,263.7,2.26,False,True
TITAN,60.0,TOO_SLOW,TOO_SLOW,420.5,1.34,True,True
BAJAJ-AUTO,60.0,TOO_SLOW,TOO_SLOW,285.1,1.58,True,True
BAJFINANCE,60.0,TOO_SLOW,TOO_SLOW,573.0,1.73,True,True
SARDAEN,59.6,MARGINAL,,78.5,2.87,False,False
CDSL,59.6,BTST_ELIGIBLE,BTST_ELIGIBLE,172.9,2.23,False,True
BHARATFORG,58.7,BTST_ELIGIBLE,BTST_ELIGIBLE,269.4,2.22,False,True
INFY,58.4,BTST_ELIGIBLE,BTST_ELIGIBLE,947.7,2.21,False,True
TATASTEEL,57.6,BTST_ELIGIBLE,BTST_ELIGIBLE,493.9,2.19,False,True
SHREECEM,56.6,BTST_ELIGIBLE,BTST_ELIGIBLE,68.0,2.32,False,True
INDIANB,56.2,BTST_ELIGIBLE,BTST_ELIGIBLE,115.1,2.17,False,True
SCHNEIDER,56.0,MARGINAL,,64.2,5.41,False,False
SUZLON,56.0,BTST_ELIGIBLE,BTST_ELIGIBLE,193.7,2.17,False,True
ADANIPORTS,55.6,BTST_ELIGIBLE,BTST_ELIGIBLE,381.3,2.16,False,True
FORTIS,55.1,BTST_ELIGIBLE,BTST_ELIGIBLE,144.7,2.15,False,True
JBMA,54.7,MARGINAL,,58.7,2.67,False,False
TATAELXSI,54.5,BTST_ELIGIBLE,BTST_ELIGIBLE,68.6,2.28,False,True
TARIL,54.4,MARGINAL,,57.8,3.44,False,False
OLECTRA,54.1,MARGINAL,,56.3,3.67,False,False
KPIGREEN,53.9,MARGINAL,,55.7,3.44,False,False
KIMS,52.3,MARGINAL,,49.2,2.59,False,False
BHARTIARTL,51.4,BTST_ELIGIBLE,BTST_ELIGIBLE,1418.4,2.09,False,True
TATACOMM,51.0,MARGINAL,,43.9,2.56,False,False
TECHM,51.0,BTST_ELIGIBLE,BTST_ELIGIBLE,416.5,2.08,False,True
NCC,50.8,MARGINAL,,43.0,3.02,False,False
MOSCHIP,50.8,MARGINAL,,43.4,2.75,False,False
THERMAX,50.6,MARGINAL,,55.0,2.45,False,False
IDEAFORGE,50.2,MARGINAL,,40.6,4.91,False,False
TATACHEM,50.0,MARGINAL,,48.2,2.46,False,False
LTTS,49.8,MARGINAL,,39.2,2.53,False,False
TANLA,49.0,MARGINAL,,35.9,3.7,False,False
CUMMINSIND,48.7,BTST_ELIGIBLE,BTST_ELIGIBLE,282.3,2.04,False,True
CLEAN,48.2,MARGINAL,,32.7,2.62,False,False
PFC,48.2,BTST_ELIGIBLE,BTST_ELIGIBLE,339.1,2.03,False,True
TITAGARH,48.0,MARGINAL,,32.1,3.08,False,False
AFFLE,47.2,MARGINAL,,28.9,2.85,False,False
KNRCON,46.7,MARGINAL,,26.7,4.54,False,False
JSWENERGY,46.6,BTST_ELIGIBLE,BTST_ELIGIBLE,97.8,2.01,False,True
INDHOTEL,46.5,BTST_ELIGIBLE,BTST_ELIGIBLE,114.1,2.0,False,True
RAILTEL,46.1,MARGINAL,,32.3,2.46,False,False
AIAENG,45.8,MARGINAL,,23.0,2.8,False,False
BORORENEW,45.7,MARGINAL,,22.8,3.06,False,False
HEROMOTOCO,45.7,BTST_ELIGIBLE,BTST_ELIGIBLE,370.1,1.99,False,True
SKFINDIA,45.6,MARGINAL,,22.4,3.99,False,False
AMBUJACEM,45.3,BTST_ELIGIBLE,BTST_ELIGIBLE,114.6,1.98,False,True
JWL,44.6,TOO_ILLIQUID,TOO_ILLIQUID,18.4,2.52,False,False
TEXRAIL,44.6,TOO_ILLIQUID,TOO_ILLIQUID,18.4,3.1,False,False
KSB,44.4,TOO_ILLIQUID,TOO_ILLIQUID,17.4,2.71,False,False
ELECON,44.1,TOO_ILLIQUID,TOO_ILLIQUID,16.4,3.32,False,False
PNCINFRA,44.1,TOO_ILLIQUID,TOO_ILLIQUID,16.5,2.93,False,False
HGINFRA,44.1,TOO_ILLIQUID,TOO_ILLIQUID,16.4,2.99,False,False
IRCON,44.0,TOO_ILLIQUID,TOO_ILLIQUID,16.1,2.64,False,False
ASIANPAINT,43.5,BTST_ELIGIBLE,BTST_ELIGIBLE,185.8,1.95,False,True
SOBHA,42.9,TOO_ILLIQUID,TOO_ILLIQUID,11.4,2.57,False,False
MANKIND,42.6,BTST_ELIGIBLE,BTST_ELIGIBLE,81.9,2.01,False,True
ROUTE,42.6,TOO_ILLIQUID,TOO_ILLIQUID,10.5,2.76,False,False
DCXINDIA,42.0,TOO_ILLIQUID,TOO_ILLIQUID,8.1,3.29,False,False
CANBK,41.6,BTST_ELIGIBLE,BTST_ELIGIBLE,184.2,1.91,False,True
ITC,41.4,BTST_ELIGIBLE,BTST_ELIGIBLE,367.4,1.91,False,True
TATAPOWER,41.2,BTST_ELIGIBLE,BTST_ELIGIBLE,178.6,1.91,False,True
PSPPROJECT,41.1,TOO_ILLIQUID,TOO_ILLIQUID,4.6,3.0,False,False
UNITDSPR,41.0,BTST_ELIGIBLE,BTST_ELIGIBLE,83.4,1.98,False,True
TIMKEN,41.0,TOO_ILLIQUID,TOO_ILLIQUID,12.1,2.46,False,False
M&M,40.3,BTST_ELIGIBLE,BTST_ELIGIBLE,622.4,1.89,False,True
ALKEM,39.9,BTST_ELIGIBLE,BTST_ELIGIBLE,71.8,2.01,False,True
JSWSTEEL,39.5,BTST_ELIGIBLE,BTST_ELIGIBLE,224.2,1.88,False,True
PIDILITIND,39.5,BTST_ELIGIBLE,BTST_ELIGIBLE,159.2,1.88,False,True
PIIND,39.4,BTST_ELIGIBLE,BTST_ELIGIBLE,77.7,1.98,False,True
GODFRYPHLP,39.1,MARGINAL,,49.0,2.1,False,True
SUNPHARMA,38.7,BTST_ELIGIBLE,BTST_ELIGIBLE,327.9,1.87,False,True
AFCONS,38.5,MARGINAL,,30.5,2.34,False,False
NBCC,38.3,BTST_ELIGIBLE,BTST_ELIGIBLE,52.9,2.06,False,True
WAAREEENER,36.9,BTST_ELIGIBLE,BTST_ELIGIBLE,119.7,1.83,False,True
GAIL,36.2,BTST_ELIGIBLE,BTST_ELIGIBLE,143.5,1.82,False,True
IREDA,35.8,BTST_ELIGIBLE,BTST_ELIGIBLE,54.6,2.01,False,True
APOLLOHOSP,35.3,BTST_ELIGIBLE,BTST_ELIGIBLE,366.0,1.81,False,True
BAJAJFINSV,35.0,TOO_SLOW,TOO_SLOW,189.3,1.61,False,True
ICICIBANK,35.0,TOO_SLOW,TOO_SLOW,1364.0,1.41,False,True
EICHERMOT,35.0,TOO_SLOW,TOO_SLOW,299.4,1.44,False,True
BEL,35.0,TOO_SLOW,TOO_SLOW,409.4,1.56,False,True
RELIANCE,35.0,TOO_SLOW,TOO_SLOW,1493.0,1.46,False,True
BANKBARODA,35.0,TOO_SLOW,TOO_SLOW,194.8,1.65,False,True
SBILIFE,35.0,TOO_SLOW,TOO_SLOW,147.7,1.69,False,True
HDFCLIFE,35.0,TOO_SLOW,TOO_SLOW,153.4,1.64,False,True
SBIN,35.0,TOO_SLOW,TOO_SLOW,1018.5,1.56,False,True
POWERGRID,35.0,TOO_SLOW,TOO_SLOW,230.3,1.65,False,True
HDFCBANK,35.0,TOO_SLOW,TOO_SLOW,2097.5,1.59,False,True
KOTAKBANK,35.0,TOO_SLOW,TOO_SLOW,490.1,1.79,False,True
NTPC,35.0,TOO_SLOW,TOO_SLOW,304.9,1.76,False,True
LT,35.0,TOO_SLOW,TOO_SLOW,541.8,1.32,False,True
AXISBANK,35.0,TOO_SLOW,TOO_SLOW,591.3,1.76,False,True
ULTRACEMCO,35.0,TOO_SLOW,TOO_SLOW,268.4,1.52,False,True
TRENT,35.0,TOO_SLOW,TOO_SLOW,290.5,1.69,False,True
MARUTI,35.0,TOO_SLOW,TOO_SLOW,416.8,1.75,False,True
LUPIN,35.0,TOO_SLOW,TOO_SLOW,240.1,1.75,False,True
TATACONSUM,35.0,TOO_SLOW,TOO_SLOW,132.7,1.74,False,True
HINDUNILVR,35.0,TOO_SLOW,TOO_SLOW,225.2,1.39,False,True
ICICIGI,35.0,TOO_SLOW,TOO_SLOW,174.1,1.58,False,True
COALINDIA,35.0,TOO_SLOW,TOO_SLOW,317.0,1.54,False,True
IOC,35.0,TOO_SLOW,TOO_SLOW,113.2,1.71,False,True
PNB,35.0,TOO_SLOW,TOO_SLOW,152.9,1.73,False,True
DRREDDY,35.0,TOO_SLOW,TOO_SLOW,194.4,1.67,False,True
CIPLA,35.0,TOO_SLOW,TOO_SLOW,109.6,1.45,False,True
ONGC,35.0,TOO_SLOW,TOO_SLOW,298.1,1.49,False,True
VINATIORGA,32.1,TOO_ILLIQUID,TOO_ILLIQUID,7.4,2.33,False,False
SRF,27.6,TOO_SLOW,TOO_SLOW,70.5,1.51,False,True
NHPC,26.9,TOO_SLOW,TOO_SLOW,67.5,1.74,False,True
IRFC,24.7,TOO_SLOW,TOO_SLOW,58.9,1.72,False,True
JKCEMENT,23.1,TOO_ILLIQUID,TOO_ILLIQUID,13.6,2.15,False,False
NH,16.9,MARGINAL,,59.4,1.84,False,False
ACC,4.5,TOO_SLOW,TOO_SLOW|TOO_ILLIQUID,17.9,1.68,False,False
PREMEXPLN,3.9,TOO_SLOW,TOO_SLOW|TOO_ILLIQUID,15.6,1.49,False,False
SJVN,2.3,TOO_SLOW,TOO_SLOW|TOO_ILLIQUID,9.3,1.31,False,False
TAALTECH,,NO_DATA,,,,,False
PWL,,NO_DATA,,,,,False
RIR,,NO_DATA,,,,,False
